Stock no,Description,As is,18K Code,14K Code,10K Code,9K Code,Silver Code,Gold weight,1st Stn,1st Stn qty,1st Stn weight,2nd Stn,2nd Stn qty,2nd Stn weight,3rd Stn,3rd Stn qty,3rd Stn weight,4th Stn,4th Stn qty,4th Stn weight
177346,"EM RING, WG, #17804",64659,79866,70210,60631,58568,45917,6.54,EM,10,2.27,DA,74,0.49,,0,0,,0,0
184487,"RU RING, WG, #18015",28749,33864,30609,27395,26704,22444,2.2,RU,1,0.82,DA,14,0.2,,0,0,,0,0
183257,"RU RING, WG, #11483",13810,19483,15881,12303,11542,6817,2.44,RU,1,0.57,DA,24,0.07,,0,0,,0,0
176046,"SA RING, WG, #10466",11281,16350,13117,9928,9268,5033,2.18,SA,1,0.33,DA,10,0.13,,0,0,,0,0
168266,"RU RING, WG, #16603",8820,12867,10286,7745,7191,3835,1.74,RU,1,0.23,DA,12,0.07,,0,0,,0,0
174114,"RU RING, WG, #17362",12130,16292,13655,11023,10459,6999,1.79,RU,1,0.48,DA,29,0.1,,0,0,,0,0
177347,"RU RING, WG, #17805",55142,82958,69993,57107,54344,37329,8.79,RU,9,2.99,DA,8,0.23,DA,68,0.48,,0,0
182637,"RU RING, WG, #16662",23856,38066,31458,24858,23460,14759,4.49,RU,8,1.37,DA,42,0.21,,0,0,,0,0
179663,"SA RING, WG, #17621",13768,21711,17990,14336,13535,8681,2.51,SA,14,1.31,DA,14,0.23,,0,0,,0,0
176012,"SA RING, WG, #17609",19937,33358,27108,20885,19558,11347,4.24,SA,18,0.64,SA,12,0.24,DA,24,0.15,,0,0
176244,"RU RING, WG, #17624",23537,35245,29798,24366,23217,16038,3.7,RU,2,0.32,RU,4,0.42,RU,8,0.43,DA,20,0.34
183442,"BS RING, WG, #16716",24440,34378,29756,25140,24173,18079,3.14,BS,20,1.97,DA,11,0.1,,0,0,,0,0
183143,"PS RING, YG, #18554",25061,41644,33918,26231,24590,14442,5.24,PS,7,1.96,DA,65,0.25,,0,0,,0,0
183866,"RA RING, YG, #17825",10353,19532,15257,11005,10107,4478,2.9,RA,6,2.21,PL,1,0.24,DA,14,0.11,,0,0
181571,"RU RING, WG, #12948",17585,24578,21313,18086,17392,13106,2.21,RU,4,0.59,RU,1,0.07,DA,4,0.28,DA,1,0.01
182733,"EM RING, WG, #18545",23268,34091,29036,24047,22947,16338,3.42,EM,3,0.71,DA,12,0.25,,0,0,,0,0
183133,"RU RING, WG, #18510",18627,26908,23187,19534,18732,13879,2.51,RU,4,0.81,DA,1,0.07,DA,38,0.15,,0,0
184899,"EM RING, WG, #18234",176640,187770,182552,177379,176288,169445,3.53,EM,1,1.15,DA,10,0.95,DA,28,0.36,,0,0
178012,"SA RING, WG, #17898",17380,28870,23500,18185,17049,10026,3.63,SA,12,0.53,DA,12,0.36,,0,0,,0,0
182730,"SA RING, YG, #18544",21025,37290,29717,22171,20575,10608,5.14,SA,14,3.23,DA,3,0.05,,0,0,,0,0
180920,"BS RING, YG, #8485",18677,26589,22921,19238,18466,13611,2.5,BS,1,0.88,DA,17,0.15,DA,1,0.01,,0,0
181169,"RU RING, WG, #17648",13507,21890,18136,14416,13610,8705,2.54,RU,1,0.32,DA,21,0.23,,0,0,,0,0
